Query,URL,Startup,LinkedIn
"site:linkedin.com/in/ Keygo, Hong Kong, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Keygo,https://hk.linkedin.com/in/keith-csh
"site:linkedin.com/in/ SneakPeek, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,SneakPeek,https://www.linkedin.com/in/imt3
"site:linkedin.com/in/ AltiusHub, India, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,AltiusHub,https://in.linkedin.com/in/abiram-v-84828965
"site:linkedin.com/in/ Algeno, , founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Algeno,https://se.linkedin.com/in/matsjirstrand
"site:linkedin.com/in/ Holon health, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Holon health,https://www.linkedin.com/in/jon-zimmerman-6611949b
"site:linkedin.com/in/ Vector Retail Media, United Kingdom, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Vector Retail Media,https://uk.linkedin.com/in/rupertstaines
"site:linkedin.com/in/ Pixldata, United Kingdom, founder","Error fetching result: Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""a[jsname=""UWckNb""]""}
  (Session info: chrome=126.0.6478.127); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x00000001007f6a0c chromedriver + 4385292
1   chromedriver                        0x00000001007ef318 chromedriver + 4354840
2   chromedriver                        0x000000010040cb0c chromedriver + 281356
3   chromedriver                        0x000000010044f2f8 chromedriver + 553720
4   chromedriver                        0x0000000100487d24 chromedriver + 785700
5   chromedriver                        0x0000000100443eec chromedriver + 507628
6   chromedriver                        0x00000001004448c4 chromedriver + 510148
7   chromedriver                        0x00000001007be3c8 chromedriver + 4154312
8   chromedriver                        0x00000001007c2e2c chromedriver + 4173356
9   chromedriver                        0x00000001007a3f84 chromedriver + 4046724
10  chromedriver                        0x00000001007c3718 chromedriver + 4175640
11  chromedriver                        0x0000000100796f44 chromedriver + 3993412
12  chromedriver                        0x00000001007e11a8 chromedriver + 4297128
13  chromedriver                        0x00000001007e1324 chromedriver + 4297508
14  chromedriver                        0x00000001007eef10 chromedriver + 4353808
15  libsystem_pthread.dylib             0x00000001894a1034 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018949be3c thread_start + 8
",,
,,Pixldata,
"site:linkedin.com/in/ Ringneck Ai, Saudi Arabia, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Ringneck Ai,https://sa.linkedin.com/in/kamilkafoor
"site:linkedin.com/in/ Cordys Analytics, , founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Cordys Analytics,https://nl.linkedin.com/in/revaes
"site:linkedin.com/in/ Askmay, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Askmay,https://www.linkedin.com/in/jessicamercedes
"site:linkedin.com/in/ Mmmico, Spain, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Mmmico,https://es.linkedin.com/in/jeronimoromero
"site:linkedin.com/in/ CoinSub, , founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,CoinSub,https://www.linkedin.com/in/jasper-fu
"site:linkedin.com/in/ Hectarea, France, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Hectarea,https://fr.linkedin.com/in/paul-rodrigues-bb16b1ba
"site:linkedin.com/in/ Demtec, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Demtec,https://www.linkedin.com/in/talia-policelli
"site:linkedin.com/in/ Tolt, , founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Tolt,https://mk.linkedin.com/in/danielgj
"site:linkedin.com/in/ AmplifAI, Saudi Arabia, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,AmplifAI,https://sa.linkedin.com/in/meshari-f-alwashmi/ar
"site:linkedin.com/in/ Linker Finance, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Linker Finance,https://www.linkedin.com/in/jagbolanos
"site:linkedin.com/in/ Swish Brand Experiences, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Swish Brand Experiences,https://www.linkedin.com/in/adamstave
"site:linkedin.com/in/ WideLabs Ai, Brazil, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,WideLabs Ai,https://br.linkedin.com/in/nelsonleoni/en
"site:linkedin.com/in/ Pageport, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Pageport,https://www.linkedin.com/in/thomasclawson
"site:linkedin.com/in/ Walkon Livos, Spain, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Walkon Livos,https://es.linkedin.com/in/mdiazmorquio/en?trk=public_post-text
"site:linkedin.com/in/ Gainz AI, United Kingdom, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Gainz AI,https://uk.linkedin.com/in/edward-albazii
"site:linkedin.com/in/ KeyAI, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,KeyAI,https://www.linkedin.com/in/keyai-lee
"site:linkedin.com/in/ SERio, Poland, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,SERio,https://www.linkedin.com/in/michal-gaszynski
"site:linkedin.com/in/ Ditto, United Kingdom, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Ditto,https://uk.linkedin.com/in/suzannakatelockwood
"site:linkedin.com/in/ Introw, Belgium, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Introw,https://be.linkedin.com/in/andreas-geamanu
"site:linkedin.com/in/ TimeUp, Portugal, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,TimeUp,https://www.linkedin.com/in/marcos-mariz/
"site:linkedin.com/in/ Zenso, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Zenso,https://www.linkedin.com/in/russheissner
"site:linkedin.com/in/ Wizermed, Israel, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Wizermed,https://il.linkedin.com/in/guy-attar-730ab218
"site:linkedin.com/in/ Eat Express, United Kingdom, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Eat Express,https://uk.linkedin.com/in/hamza-asghar-a2b677264
"site:linkedin.com/in/ Osmos, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Osmos,https://www.linkedin.com/in/dick-ellison-9560387
"site:linkedin.com/in/ Worky, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Worky,https://www.linkedin.com/in/yafimstrauss
"site:linkedin.com/in/ Aster, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Aster,https://www.linkedin.com/in/fifikara
"site:linkedin.com/in/ Foundation, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Foundation,https://www.linkedin.com/in/jenny-lin-0419868a
"site:linkedin.com/in/ Atheneaedu, Spain, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Atheneaedu,https://es.linkedin.com/in/sandraejarque
"site:linkedin.com/in/ Vian Therapeutics, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Vian Therapeutics,https://www.linkedin.com/in/jp-robles-1098b1223
"site:linkedin.com/in/ Trikl.ai, India, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Trikl.ai,https://www.linkedin.com/in/raushansharma
"site:linkedin.com/in/ Reachu, Norway, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Reachu,https://www.linkedin.com/in/renatah
"site:linkedin.com/in/ Skattio, Sweden, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Skattio,https://se.linkedin.com/in/rasagolali/en
"site:linkedin.com/in/ PeopleCounter, Finland, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,PeopleCounter,https://fi.linkedin.com/in/pentikainen
"site:linkedin.com/in/ Noble, Canada, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Noble,https://ca.linkedin.com/in/eddya22
"site:linkedin.com/in/ Lifetime Health, India, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Lifetime Health,https://in.linkedin.com/in/riabtsev
"site:linkedin.com/in/ Talmizi, Israel, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Talmizi,https://il.linkedin.com/in/amalzubidat
"site:linkedin.com/in/ Blue Saturn, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Blue Saturn,https://www.linkedin.com/in/anthonysantos1101
"site:linkedin.com/in/ DripDoc, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,DripDoc,https://www.linkedin.com/in/hamiltoncory/
"site:linkedin.com/in/ Fluctlight, Japan, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Fluctlight,https://jp.linkedin.com/in/ugnk
"site:linkedin.com/in/ Gigbanc, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Gigbanc,https://ng.linkedin.com/in/paulokundaye
"site:linkedin.com/in/ FameFlow, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,FameFlow,https://www.linkedin.com/in/chrisrojas
"site:linkedin.com/in/ LucciAI, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,LucciAI,https://www.linkedin.com/in/siclari-herrera-5067b699
"site:linkedin.com/in/ Girlgroup, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Girlgroup,https://www.linkedin.com/in/alexandehofmann
"site:linkedin.com/in/ Intryc, United Kingdom, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Intryc,https://www.linkedin.com/in/alexmarantelos
"site:linkedin.com/in/ Mysa, India, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Mysa,https://in.linkedin.com/in/arpitakapoor
"site:linkedin.com/in/ Charmed, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Charmed,https://www.linkedin.com/in/jeremytryba
"site:linkedin.com/in/ Abaco, El Salvador, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Abaco,https://sv.linkedin.com/in/alejandromccormack
"site:linkedin.com/in/ Micapass, Lithuania, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Micapass,https://lt.linkedin.com/in/justas-ro%C5%BE%C4%97nas-aa9780b5
"site:linkedin.com/in/ Heylisa, Germany, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Heylisa,https://www.linkedin.com/in/zol-kovacs
"site:linkedin.com/in/ ScaleMail, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,ScaleMail,https://www.linkedin.com/in/willem-butler
"site:linkedin.com/in/ Arthum, India, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Arthum,https://in.linkedin.com/in/darpan-sharma-1b699b19
"site:linkedin.com/in/ Kotoba Technologies, Japan, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
